Date,Open,High,Low,Close,Adj Close,Volume
2018-04-10,157.929993,165.979996,157.009995,165.039993,165.039993,57889300
2018-04-11,165.360001,168.649994,163.25,166.320007,166.320007,56144600
2018-04-12,166.979996,167.449997,163.100006,163.869995,163.869995,38263000
2018-04-13,164.580002,165.699997,163.770004,164.520004,164.520004,19990600
2018-04-16,165.720001,165.779999,163.389999,164.830002,164.830002,18119400
2018-04-17,165.830002,169.0,165.660004,168.660004,168.660004,22743000
2018-04-18,166.880005,168.119995,165.770004,166.360001,166.360001,20969600
2018-04-19,166.199997,168.330002,165.199997,168.100006,168.100006,22235000
2018-04-20,167.789993,168.429993,165.809998,166.279999,166.279999,19119400
2018-04-23,167.270004,168.449997,165.089996,165.839996,165.839996,23088100
2018-04-24,165.429993,166.100006,158.190002,159.690002,159.690002,35079900
2018-04-25,160.139999,161.059998,156.190002,159.690002,159.690002,41083600
2018-04-26,173.220001,176.270004,170.800003,174.160004,174.160004,77556900
2018-04-27,176.809998,177.100006,172.600006,173.589996,173.589996,29804700
2018-04-30,173.789993,175.720001,171.710007,172.0,172.0,20750500
2018-05-01,172.0,174.020004,170.229996,173.860001,173.860001,26025900
2018-05-02,174.25,178.080002,174.199997,176.070007,176.070007,30424500
2018-05-03,175.130005,176.119995,172.119995,174.020004,174.020004,24026100
2018-05-04,173.080002,176.979996,173.059998,176.610001,176.610001,17677800
2018-05-07,177.350006,179.5,177.169998,177.970001,177.970001,18697200
2018-05-08,178.25,179.039993,177.110001,178.919998,178.919998,15577200
2018-05-09,179.669998,183.009995,178.779999,182.660004,182.660004,23282800
2018-05-10,183.149994,186.130005,182.5,185.529999,185.529999,21071400
2018-05-11,184.850006,188.320007,184.179993,186.990005,186.990005,21207800
2018-05-14,187.710007,187.860001,186.199997,186.639999,186.639999,15646700
2018-05-15,184.880005,185.289993,183.199997,184.320007,184.320007,15429400
2018-05-16,183.699997,184.320007,182.660004,183.199997,183.199997,16975500
2018-05-17,182.679993,184.059998,182.220001,183.759995,183.759995,14840700
2018-05-18,183.490005,184.190002,182.610001,182.679993,182.679993,13130500
2018-05-21,183.770004,185.300003,183.130005,184.490005,184.490005,13532900
2018-05-22,184.929993,185.419998,183.429993,183.800003,183.800003,12731400
2018-05-23,182.5,186.910004,182.179993,186.899994,186.899994,16628100
2018-05-24,185.880005,186.800003,185.029999,185.929993,185.929993,12354700
2018-05-25,186.020004,186.330002,184.449997,184.919998,184.919998,10965100
2018-05-29,184.339996,186.809998,183.710007,185.740005,185.740005,16398900
2018-05-30,186.539993,188.0,185.25,187.669998,187.669998,13736900
2018-05-31,187.869995,192.720001,187.479996,191.779999,191.779999,30782600
2018-06-01,193.070007,194.550003,192.070007,193.990005,193.990005,17307200
2018-06-04,191.839996,193.979996,191.470001,193.279999,193.279999,18939800
2018-06-05,194.300003,195.0,192.619995,192.940002,192.940002,15544300
2018-06-06,191.029999,192.529999,189.110001,191.339996,191.339996,22558900
2018-06-07,190.75,190.970001,186.770004,188.179993,188.179993,21503200
2018-06-08,187.529999,189.479996,186.429993,189.100006,189.100006,12677100
2018-06-11,188.809998,192.600006,188.800003,191.539993,191.539993,12928900
2018-06-12,192.169998,193.279999,191.559998,192.399994,192.399994,11562700
2018-06-13,192.740005,194.5,191.910004,192.410004,192.410004,15853800
2018-06-14,193.100006,197.279999,192.910004,196.809998,196.809998,19120900
2018-06-15,195.789993,197.070007,194.639999,195.850006,195.850006,21860900
2018-06-18,194.800003,199.580002,194.130005,198.309998,198.309998,16826000
2018-06-19,196.240005,197.960007,193.789993,197.490005,197.490005,19994000
2018-06-20,199.100006,203.550003,198.809998,202.0,202.0,28230900
2018-06-21,202.759995,203.389999,200.089996,201.5,201.5,19045700
2018-06-22,201.160004,202.240005,199.309998,201.740005,201.740005,17420200
2018-06-25,200.0,200.0,193.110001,196.350006,196.350006,25275100
2018-06-26,197.600006,199.100006,196.229996,199.0,199.0,17897600
2018-06-27,199.179993,200.75,195.800003,195.839996,195.839996,18734400
2018-06-28,195.179993,197.339996,193.259995,196.229996,196.229996,18172400
2018-06-29,197.320007,197.600006,193.960007,194.320007,194.320007,15811600
2018-07-02,193.369995,197.449997,192.220001,197.360001,197.360001,13961600
2018-07-03,194.550003,195.399994,192.520004,192.729996,192.729996,13489500
2018-07-05,194.740005,198.649994,194.029999,198.449997,198.449997,19684200
2018-07-06,198.449997,203.639999,197.699997,203.229996,203.229996,19740100
2018-07-09,204.929993,205.800003,202.119995,204.740005,204.740005,18149400
